C5567: Amazing Opportunity: Blockchain Developer- Hyperledger Fabric,SNAPPER FUTURE TECH,Hyderabad,https://www.naukri.com/job-listings-c5567-amazing-opportunity-blockchain-developer-hyperledger-fabric-infinity-solutions-hyderabad-4-to-9-years-260124005086,"Blockchain, Smart Contracts, Docker, Hyperledger, Crypto Algorithms, Golang, Java, Node.Js"
Blockchain Developer - Ethereum/Hyperledger,Looper Development Services,"Noida, Greater Noida",https://www.naukri.com/job-listings-blockchain-developer-ethereum-hyperledger-looper-development-services-private-limited-noida-greater-noida-7-to-11-years-180424911182,"Ethereum, Golang, Blockchain Implementation, Hyperledger, Blockchain, Corda, Node.js, Development"
Blockchain Developer,Chainscript Labs,Chennai,https://www.naukri.com/job-listings-blockchain-developer-chainscript-labs-pvt-ltd-chennai-2-to-8-years-180424502032,"algorithms, css, golang, docker, ethereum, react.js, java, writing"
"Hiring blockchain Developer
 Work from Home/ WFH",OXYGENT CONSULTING SERVICES ,Remote,https://www.naukri.com/job-listings-hiring-blockchain-developer-work-from-home-wfh-oxygent-consulting-services-ghaziabad-0-to-5-years-030424910340,"Blockchain, Quorum, Solidity, Truffle, Hyperledger, Ethereum, Bitcoin, Corda"
Blockchain Developer | Leading IT Co. | Delhi,Hiring for -  Leading IT Co. ,"Noida, Ghaziabad, Delhi / NCR",https://www.naukri.com/job-listings-blockchain-developer-leading-it-co-delhi-hindco-recruitment-consultants-noida-ghaziabad-delhi-ncr-0-to-5-years-150424006600,"Blockchain, Blockchain Management, Blockchain Protocols, Blockchain Developer, Hyperledger, Java, C++, Data Structures"
Blockchain Developer - Solidity/DeFi Protocols,Lisa Institute Of Fashion,"Noida, Chandigarh, Delhi / NCR",https://www.naukri.com/job-listings-blockchain-developer-solidity-defi-protocols-antier-solutions-private-limited-noida-chandigarh-delhi-ncr-1-to-4-years-180424910943,"Blockchain, Solidity, audit, Ethereum, Node.js, React.js, DeFi Protocols, Web3.js"
Blockchain Lead/Architect - Ethereum/Hyperledger,Techstar Group,Bengaluru,https://www.naukri.com/job-listings-blockchain-lead-architect-ethereum-hyperledger-techstar-software-development-india-pvt-ltd-bengaluru-8-to-13-years-180424911063,"Ethereum, blockchain security technologies, Java, Blockchain Lead, Hyperledger, Go, cryptography, Python"
Blockchain Lead/Architect - Solidity/Smart Contract,Forward Eye Technologies,"Mumbai, Delhi / NCR, Bengaluru",https://www.naukri.com/job-listings-blockchain-lead-architect-solidity-smart-contract-forward-eye-technology-mumbai-delhi-ncr-bengaluru-1-to-2-years-180424911282,"Blockchain Architecture, Blockchain Implementation, Smart Contract, Solidity, Ethereum, Node.js, Blockchain Architect, Cryptography"
Blockchain Developer- Hyperledger Fabric,Infinity Solutions,Hyderabad(Gachibowli),https://www.naukri.com/job-listings-blockchain-developer-hyperledger-fabric-infinity-solutions-hyderabad-4-to-9-years-240224008004,"Hyperledger Fabric, Golang, Blockchain Technology, Java, Data Structures, Blockchain, Node.Js, Code Review"
Blockchain Developer,Raag Music Therapy,Chennai,https://www.naukri.com/job-listings-blockchain-developer-gigipo-esprit-private-limited-chennai-3-to-5-years-200424004143,"Rust, Solidity, Blockchain, Smart Contracts, Cosmos SDK, Remix tool, Cosmwasm, SDK"
Blockchain Developer - Solidity / DeFi Protocol,Lisa Institute Of Fashion,Chandigarh,https://www.naukri.com/job-listings-blockchain-developer-solidity-defi-protocol-antier-solutions-private-limited-chandigarh-1-to-4-years-180424910942,"Blockchain Development, Solidity, smart contracts, web3, Node.js, DeFi Protocol, React JS, Web technologies"
Blockchain Developer,Techmayntra Services,Ahmedabad,https://www.naukri.com/job-listings-blockchain-developer-techmayntra-services-ahmedabad-2-to-6-years-170424502017,"Computer science, C++, Backend, HP data protector, Information security, Analytical, Programming, Data structures"
Blockchain Architect,SNAPPER FUTURE TECH,Hyderabad(Gachibowli),https://www.naukri.com/job-listings-blockchain-architect-infinity-solutions-hyderabad-8-to-13-years-250324002270,"Blockchain Architect, R3, Java, corda, Good Communication skills, Go, Smart Contracts, Hyperledger Fabric"
